"time","tank1.h","tank2.h","der(tank1.h)","der(tank2.h)","tank2.Q1","tank2.T","tank1.Qo","tank1.flowConnect.F","tank2.flowConnect.F"
0,0,0,2,0,0,10000000,0,0,0
0.002,0.004,0,2,0,0,10000000,0,0,0
0.004,0.008,0,2,0,0,10000000,0,0,0
0.006,0.012,0,2,0,0,10000000,0,0,0
0.008,0.016,0,2,0,0,10000000,0,0,0
0.01,0.02,0,2,0,0,10000000,0,0,0
0.012,0.024,0,2,0,0,10000000,0,0,0
0.014,0.028,0,2,0,0,10000000,0,0,0
0.016,0.032,0,2,0,0,10000000,0,0,0
0.018,0.036,0,2,0,0,10000000,0,0,0
0.02,0.04,0,2,0,0,10000000,0,0,0
0.022,0.044,0,2,0,0,10000000,0,0,0
0.024,0.048,0,2,0,0,10000000,0,0,0
0.026,0.052,0,2,0,0,10000000,0,0,0
0.028,0.056,0,2,0,0,10000000,0,0,0
0.03,0.06,0,2,0,0,10000000,0,0,0
0.032,0.064,0,2,0,0,10000000,0,0,0
0.034,0.068,0,2,0,0,10000000,0,0,0
0.036,0.07199999999999999,0,2,0,0,10000000,0,0,0
0.038,0.076,0,2,0,0,10000000,0,0,0
0.04,0.08,0,2,0,0,10000000,0,0,0
0.042,0.08400000000000001,0,2,0,0,10000000,0,0,0
0.044,0.08799999999999999,0,2,0,0,10000000,0,0,0
0.046,0.092,0,2,0,0,10000000,0,0,0
0.048,0.096,0,2,0,0,10000000,0,0,0
0.05,0.1,0,2,0,0,10000000,0,0,0
0.052,0.104,0,2,0,0,10000000,0,0,0
0.054,0.108,0,2,0,0,10000000,0,0,0
0.056,0.112,0,2,0,0,10000000,0,0,0
0.058,0.116,0,2,0,0,10000000,0,0,0
0.06,0.12,0,2,0,0,10000000,0,0,0
0.062,0.124,0,2,0,0,10000000,0,0,0
0.064,0.128,0,2,0,0,10000000,0,0,0
0.066,0.132,0,2,0,0,10000000,0,0,0
0.068,0.136,0,2,0,0,10000000,0,0,0
0.07000000000000001,0.14,0,2,0,0,10000000,0,0,0
0.07199999999999999,0.144,0,2,0,0,10000000,0,0,0
