"time","V","i_L","der(V)","der(i_L)","i_C","i_R"
0,0,0,0,24,0,0
0.002,0.04766516705154642,0.04796812827064091,47.49147660012544,23.95233483294845,0.04749147660012545,0.0004766516705154642
0.004,0.1892119587320458,0.09574672770897405,93.8546081216536,23.81078804126795,0.0938546081216536,0.001892119587320458
0.006,0.4222224981055079,0.1431503301937262,138.9281052126711,23.57777750189449,0.1389281052126711,0.004222224981055079
0.008,0.7439626597927573,0.1899986961549579,182.5590695570303,23.25603734020724,0.1825590695570304,0.007439626597927573
0.01,1.151401226110994,0.2361173537159462,224.6033414548363,22.84859877388901,0.2246033414548363,0.01151401226110994
0.012,1.64122840224137,0.2813381672603265,264.9258832379128,22.35877159775863,0.2649258832379128,0.0164122840224137
0.014,2.209873522829944,0.325499887670382,303.4011524420826,21.79012647717006,0.3034011524420826,0.02209873522829944
0.016,2.853524517717106,0.3684486543592426,339.9134091820716,21.1464754822829,0.3399134091820716,0.02853524517717106
0.018,3.568148000183373,0.4100384573769716,374.3569773751379,20.43185199981663,0.3743569773751379,0.03568148000183373
0.02,4.349509567683894,0.4501315528855042,406.6364572086652,19.6504904323161,0.4066364572086652,0.04349509567683894
0.022,5.193194595828619,0.488598822642418,436.6668766841318,18.80680540417138,0.4366668766841318,0.05193194595828619
0.024,6.094628945555237,0.5253201458005388,464.3738563449864,17.90537105444476,0.4643738563449864,0.06094628945555237
0.026,7.049100104413337,0.5601847397640551,489.6937387199218,16.95089989558666,0.4896937387199218,0.07049100104413336
0.028,8.051778694441529,0.5930913729451588,512.5735860007435,15.94822130555847,0.5125735860007435,0.08051778694441529
0.03,9.097740786411091,0.6239484897811153,532.9710819170043,14.90225921358891,0.5329710819170044,0.0909774078641109
0.032,10.18198799504605,0.652674522370659,550.8546424201985,13.81801200495395,0.5508546424201985,0.1018198799504604
0.034,11.29946966244533,0.6791980248345179,566.2033282100646,12.70053033755467,0.5662033282100646,0.1129946966244533
0.036,12.44510347985047,0.7034575127576275,579.0064779591228,11.55489652014953,0.5790064779591227,0.1244510347985047
